sample_id,local_sample_id,batch_start,batch_end,batch_name,sample_id_mode,sample_id_warning,file,file_path,relative_path,parent_dir,suffix,sample_slot,well_start,well_end,sample_layout
87,44,1,1600,结果1-1600,two_per_file,,检测结果 (44).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (44).csv,结果汇总\结果1-1600\10-99\检测结果 (44).csv,10-99,.csv,1,1,15,two_per_file_15x2
88,44,1,1600,结果1-1600,two_per_file,,检测结果 (44).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (44).csv,结果汇总\结果1-1600\10-99\检测结果 (44).csv,10-99,.csv,2,16,30,two_per_file_15x2
89,45,1,1600,结果1-1600,two_per_file,,检测结果 (45).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (45).csv,结果汇总\结果1-1600\10-99\检测结果 (45).csv,10-99,.csv,1,1,15,two_per_file_15x2
90,45,1,1600,结果1-1600,two_per_file,,检测结果 (45).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (45).csv,结果汇总\结果1-1600\10-99\检测结果 (45).csv,10-99,.csv,2,16,30,two_per_file_15x2
91,46,1,1600,结果1-1600,two_per_file,,检测结果 (46).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (46).csv,结果汇总\结果1-1600\10-99\检测结果 (46).csv,10-99,.csv,1,1,15,two_per_file_15x2
92,46,1,1600,结果1-1600,two_per_file,,检测结果 (46).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (46).csv,结果汇总\结果1-1600\10-99\检测结果 (46).csv,10-99,.csv,2,16,30,two_per_file_15x2
93,47,1,1600,结果1-1600,two_per_file,,检测结果 (47).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (47).csv,结果汇总\结果1-1600\10-99\检测结果 (47).csv,10-99,.csv,1,1,15,two_per_file_15x2
94,47,1,1600,结果1-1600,two_per_file,,检测结果 (47).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (47).csv,结果汇总\结果1-1600\10-99\检测结果 (47).csv,10-99,.csv,2,16,30,two_per_file_15x2
95,48,1,1600,结果1-1600,two_per_file,,检测结果 (48).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (48).csv,结果汇总\结果1-1600\10-99\检测结果 (48).csv,10-99,.csv,1,1,15,two_per_file_15x2
96,48,1,1600,结果1-1600,two_per_file,,检测结果 (48).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (48).csv,结果汇总\结果1-1600\10-99\检测结果 (48).csv,10-99,.csv,2,16,30,two_per_file_15x2
97,49,1,1600,结果1-1600,two_per_file,,检测结果 (49).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (49).csv,结果汇总\结果1-1600\10-99\检测结果 (49).csv,10-99,.csv,1,1,15,two_per_file_15x2
98,49,1,1600,结果1-1600,two_per_file,,检测结果 (49).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (49).csv,结果汇总\结果1-1600\10-99\检测结果 (49).csv,10-99,.csv,2,16,30,two_per_file_15x2
99,50,1,1600,结果1-1600,two_per_file,,检测结果 (50).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (50).csv,结果汇总\结果1-1600\10-99\检测结果 (50).csv,10-99,.csv,1,1,15,two_per_file_15x2
100,50,1,1600,结果1-1600,two_per_file,,检测结果 (50).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (50).csv,结果汇总\结果1-1600\10-99\检测结果 (50).csv,10-99,.csv,2,16,30,two_per_file_15x2
101,51,1,1600,结果1-1600,two_per_file,,检测结果 (51).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (51).csv,结果汇总\结果1-1600\10-99\检测结果 (51).csv,10-99,.csv,1,1,15,two_per_file_15x2
102,51,1,1600,结果1-1600,two_per_file,,检测结果 (51).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (51).csv,结果汇总\结果1-1600\10-99\检测结果 (51).csv,10-99,.csv,2,16,30,two_per_file_15x2
103,52,1,1600,结果1-1600,two_per_file,,检测结果 (52).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (52).csv,结果汇总\结果1-1600\10-99\检测结果 (52).csv,10-99,.csv,1,1,15,two_per_file_15x2
104,52,1,1600,结果1-1600,two_per_file,,检测结果 (52).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (52).csv,结果汇总\结果1-1600\10-99\检测结果 (52).csv,10-99,.csv,2,16,30,two_per_file_15x2
105,53,1,1600,结果1-1600,two_per_file,,检测结果 (53).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (53).csv,结果汇总\结果1-1600\10-99\检测结果 (53).csv,10-99,.csv,1,1,15,two_per_file_15x2
106,53,1,1600,结果1-1600,two_per_file,,检测结果 (53).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (53).csv,结果汇总\结果1-1600\10-99\检测结果 (53).csv,10-99,.csv,2,16,30,two_per_file_15x2
107,54,1,1600,结果1-1600,two_per_file,,检测结果 (54).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (54).csv,结果汇总\结果1-1600\10-99\检测结果 (54).csv,10-99,.csv,1,1,15,two_per_file_15x2
108,54,1,1600,结果1-1600,two_per_file,,检测结果 (54).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (54).csv,结果汇总\结果1-1600\10-99\检测结果 (54).csv,10-99,.csv,2,16,30,two_per_file_15x2
109,55,1,1600,结果1-1600,two_per_file,,检测结果 (55).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (55).csv,结果汇总\结果1-1600\10-99\检测结果 (55).csv,10-99,.csv,1,1,15,two_per_file_15x2
110,55,1,1600,结果1-1600,two_per_file,,检测结果 (55).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (55).csv,结果汇总\结果1-1600\10-99\检测结果 (55).csv,10-99,.csv,2,16,30,two_per_file_15x2
111,56,1,1600,结果1-1600,two_per_file,,检测结果 (56).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (56).csv,结果汇总\结果1-1600\10-99\检测结果 (56).csv,10-99,.csv,1,1,15,two_per_file_15x2
